policy,transactions_n,oracle_escalations_n,consequential_failures_n,overall_failure_numerator,overall_failure_denominator,overall_failure_incidence_pct,conditional_miss_numerator,conditional_miss_denominator,conditional_miss_rate_pct,unauthorised_economic_exposure,independent_review_n,independent_review_denominator,independent_review_pct,block_n,block_denominator,block_pct,non_autonomous_intervention_n,non_autonomous_intervention_denominator,non_autonomous_intervention_pct,false_escalations_n,false_escalation_denominator,false_escalation_rate_pct,aggregation_failures_n,qualitative_override_cases_n,qualitative_correctly_escalated_n,qualitative_correctly_escalated_pct
fixed,240,43,22,22,240,9.166667,22,43,51.162791,167900.000000,15,240,6.250000,6,240,2.500000,21,240,8.750000,0,197,0.000000,22,13,13,100.000000
mcab,240,43,2,2,240,0.833333,2,43,4.651163,17100.000000,35,240,14.583333,6,240,2.500000,41,240,17.083333,0,197,0.000000,2,13,13,100.000000
