policy,transactions_n,oracle_escalation_numerator,oracle_escalation_denominator,oracle_escalation_pct,consequential_failure_numerator,consequential_failure_denominator,overall_failure_incidence_pct,conditional_miss_numerator,conditional_miss_denominator,conditional_miss_rate_pct,false_escalation_numerator,false_escalation_denominator,false_escalation_rate_pct,absolute_dollar_exposure,anchor_normalised_exposure,entity_small_anchor_ratio,entity_reference_anchor_ratio,entity_large_anchor_ratio,maximum_entity_anchor_ratio,independent_review_n,block_n,combined_intervention_n,combined_intervention_denominator,combined_intervention_pct
fixed,270,84,270,31.111111,54,270,20.000000,54,84,64.285714,0,186,0.000000,485975.000000,0.8331,0.2777,0.2777,0.2777,0.2777,21,9,30,270,11.111111
uniform_cap,270,84,270,31.111111,25,270,9.259259,25,84,29.761905,5,186,2.688172,122725.000000,0.3719,0.2777,0.0818,0.0124,0.2777,55,9,64,270,23.703704
mcab_no_tightening,270,84,270,31.111111,22,270,8.148148,22,84,26.190476,0,186,0.000000,410650.000000,0.5129,0.0818,0.0818,0.3493,0.3493,53,9,62,270,22.962963
mcab_full,270,84,270,31.111111,10,270,3.703704,10,84,11.904762,0,186,0.000000,317550.000000,0.3533,0.0286,0.0286,0.2961,0.2961,65,9,74,270,27.407407
