mechanism,subset,entity,baseline_policy,comparison_policy,transactions_n,oracle_escalations_n,decision_disagreements_n,baseline_consequential_failures_n,comparison_consequential_failures_n,difference_consequential_failures_n,baseline_overall_failure_incidence_pct,comparison_overall_failure_incidence_pct,difference_overall_failure_incidence_pct,baseline_conditional_miss_rate_pct,comparison_conditional_miss_rate_pct,difference_conditional_miss_rate_pct,baseline_unauthorised_economic_exposure,comparison_unauthorised_economic_exposure,difference_unauthorised_economic_exposure,baseline_non_autonomous_intervention_n,comparison_non_autonomous_intervention_n,difference_non_autonomous_intervention_n,baseline_false_escalations_n,comparison_false_escalations_n,difference_false_escalations_n
statefulness,matched_pre_error_aggregation,ALL,fixed,uniform_cap,60,30,24,30,11,-19.000000,50.000000,18.333333,-31.666667,100.000000,36.666667,-63.333333,298725.000000,50775.000000,-247950.000000,0,24,24.000000,0,5,5.000000
entity_relative_calibration,matched_pre_error_aggregation,ENTITY_SMALL,uniform_cap,mcab_no_tightening,20,10,9,10,1,-9.000000,50.000000,5.000000,-45.000000,100.000000,10.000000,-90.000000,42675.000000,4050.000000,-38625.000000,0,9,9.000000,0,0,0.000000
entity_relative_calibration,matched_pre_error_aggregation,ENTITY_REFERENCE,uniform_cap,mcab_no_tightening,20,10,0,1,1,0.000000,5.000000,5.000000,0.000000,10.000000,10.000000,0.000000,8100.000000,8100.000000,0.000000,9,9,0.000000,0,0,0.000000
entity_relative_calibration,matched_pre_error_aggregation,ENTITY_LARGE,uniform_cap,mcab_no_tightening,20,10,6,0,1,1.000000,0.000000,5.000000,5.000000,0.000000,10.000000,10.000000,0.000000,16200.000000,16200.000000,15,9,-6.000000,5,0,-5.000000
prospective_error_tightening,post_error_rows_only,ALL,mcab_no_tightening,mcab_full,30,24,12,15,3,-12.000000,50.000000,10.000000,-40.000000,62.500000,12.500000,-50.000000,114800.000000,21700.000000,-93100.000000,9,21,12.000000,0,0,0.000000
